Filename,Predictions
2008_000076,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
2008_000082,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0"
2008_000116,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
2008_000123,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_000134,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_000182,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
2008_000222,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
2008_000234,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_000254,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_000268,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_000304,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_000345,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
2008_000376,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_000383,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0"
2008_000403,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
2008_000407,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_000446,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0"
2008_000465,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0"
2008_000492,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_000573,"0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0"
2008_000581,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
2008_000660,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0"
2008_000673,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0"
2008_000697,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_000776,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_000783,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0"
2008_000834,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_000837,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_000904,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0"
2008_000916,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
2008_000992,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0"
2008_001007,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0"
2008_001012,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_001028,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_001070,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_001139,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_001150,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_001185,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_001199,"0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0"
2008_001210,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
2008_001225,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_001227,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_001264,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_001304,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_001306,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_001333,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0"
2008_001374,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
2008_001376,"0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0"
2008_001380,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_001401,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_001430,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
2008_001466,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_001475,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_001478,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
2008_001491,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0"
2008_001534,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_001544,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
2008_001549,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_001564,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_001613,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0"
2008_001629,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_001638,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_001682,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
2008_001722,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_001742,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_001757,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_001765,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_001772,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1"
2008_001930,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_001992,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
2008_002003,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
2008_002026,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0"
2008_002046,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_002092,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0"
2008_002179,"0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_002207,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_002222,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
2008_002231,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0"
2008_002239,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_002241,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_002321,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_002358,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_002451,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_002492,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_002590,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_002624,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_002652,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0"
2008_002681,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
2008_002735,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_002738,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_002773,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_002789,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1"
2008_002830,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0"
2008_002835,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0"
2008_002910,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0"
2008_002929,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0"
2008_002936,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
2008_003005,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_003034,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_003052,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
2008_003073,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
2008_003095,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_003108,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_003181,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_003193,"0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0"
2008_003291,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2008_003305,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
2008_003333,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0"
2008_003374,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
